Date/Time, Time Diff, Byte Counter, Byte Diff Counter, Packet Counter, Header Info, 
2024-04-08 23:32:17.730505, 0:00:00.000114, 0, 0, 0, START PROGRAM WITH 14 HEADERS KNOWN, 
2024-04-08 23:32:17.732463, 0:00:00.001939, 0, 0, 0, SEEK_START, 
2024-04-08 23:32:17.732725, 0:00:00.000259, 10, 10, 1, MASTER_1, 
2024-04-08 23:32:17.732752, 0:00:00.000018, 18, 8, 2, SLAVE_1(*ERROR*), 
2024-04-08 23:32:17.732763, 0:00:00.000012, 18, 0, 3, MASTER_2, 
2024-04-08 23:32:17.732779, 0:00:00.000016, 207, 189, 4, SLAVE_2, 
2024-04-08 23:32:17.732805, 0:00:00.000025, 215, 8, 5, MASTER_1, 
2024-04-08 23:32:17.732818, 0:00:00.000014, 223, 8, 6, SLAVE_1(*ERROR*), 
2024-04-08 23:32:17.732830, 0:00:00.000011, 223, 0, 7, MASTER_2, 
2024-04-08 23:32:17.732845, 0:00:00.000015, 412, 189, 8, SLAVE_2, 
2024-04-08 23:32:17.732858, 0:00:00.000013, 420, 8, 9, MASTER_1, 
2024-04-08 23:32:17.732871, 0:00:00.000013, 428, 8, 10, SLAVE_1(*ERROR*), 
2024-04-08 23:32:17.732883, 0:00:00.000012, 428, 0, 11, MASTER_2, 
2024-04-08 23:32:17.732898, 0:00:00.000015, 617, 189, 12, SLAVE_2, 
2024-04-08 23:32:17.732912, 0:00:00.000014, 625, 8, 13, MASTER_1, 
2024-04-08 23:32:17.732925, 0:00:00.000014, 633, 8, 14, SLAVE_1(*ERROR*), 
2024-04-08 23:32:17.732937, 0:00:00.000011, 633, 0, 15, MASTER_2, 
2024-04-08 23:32:17.732951, 0:00:00.000014, 822, 189, 16, SLAVE_2, 
2024-04-08 23:32:17.732963, 0:00:00.000012, 830, 8, 17, MASTER_1, 
2024-04-08 23:32:17.732978, 0:00:00.000015, 895, 65, 18, SLAVE_1, 
2024-04-08 23:32:17.732992, 0:00:00.000014, 1084, 189, 19, MASTER_3, 
2024-04-08 23:32:17.733007, 0:00:00.000015, 1092, 8, 20, SLAVE_3, 
2024-04-08 23:32:17.733023, 0:00:00.000016, 1281, 189, 21, MASTER_4, 
2024-04-08 23:32:17.733038, 0:00:00.000015, 1289, 8, 22, SLAVE_4, 
2024-04-08 23:32:17.733054, 0:00:00.000016, 1320, 31, 23, MASTER_5, 
2024-04-08 23:32:17.733068, 0:00:00.000014, 1328, 8, 24, SLAVE_5, 
2024-04-08 23:32:17.733081, 0:00:00.000013, 1336, 8, 25, MASTER_2, 
2024-04-08 23:32:17.733095, 0:00:00.000015, 1525, 189, 26, SLAVE_2, 
2024-04-08 23:32:17.733110, 0:00:00.000014, 1533, 8, 27, MASTER_1, 
2024-04-08 23:32:17.733123, 0:00:00.000013, 1598, 65, 28, SLAVE_1, 
2024-04-08 23:32:17.733137, 0:00:00.000014, 1606, 8, 29, MASTER_2, 
2024-04-08 23:32:17.733151, 0:00:00.000013, 1795, 189, 30, SLAVE_2, 
2024-04-08 23:32:17.733163, 0:00:00.000013, 1803, 8, 31, MASTER_1, 
2024-04-08 23:32:17.733176, 0:00:00.000012, 1868, 65, 32, SLAVE_1, 
2024-04-08 23:32:17.733184, 0:00:00.000008, 1876, 8, 33, MASTER_2, 
2024-04-08 23:32:17.733192, 0:00:00.000008, 2065, 189, 34, SLAVE_2, 
2024-04-08 23:32:17.733201, 0:00:00.000010, 2073, 8, 35, MASTER_1, 
2024-04-08 23:32:17.733214, 0:00:00.000013, 2138, 65, 36, SLAVE_1, 
2024-04-08 23:32:17.733227, 0:00:00.000014, 2146, 8, 37, MASTER_2, 
2024-04-08 23:32:17.733241, 0:00:00.000013, 2335, 189, 38, SLAVE_2, 
2024-04-08 23:32:17.733252, 0:00:00.000012, 2343, 8, 39, MASTER_1, 
2024-04-08 23:32:17.733262, 0:00:00.000008, 2408, 65, 40, SLAVE_1, 
