Date/Time, Time Diff, Byte Counter, Byte Diff Counter, Packet Counter, Header Info, 
2024-04-12 22:12:01.679731, 0:00:00.000054, 0, 0, 0, START PROGRAM WITH 15 HEADERS KNOWN, 
2024-04-12 22:12:01.681361, 0:00:00.001625, 0, 0, 0, SEEK_START, 
2024-04-12 22:12:09.738723, 0:00:08.057382, 8, 8, 1, MASTER_1, 
2024-04-12 22:12:09.963398, 0:00:00.224667, 16, 8, 2, SLAVE_1(*ERROR*), 
2024-04-12 22:12:09.963436, 0:00:00.000021, 16, 0, 3, MASTER_2, 
2024-04-12 22:12:10.362277, 0:00:00.398859, 205, 189, 4, SLAVE_2, 
2024-04-12 22:12:10.762429, 0:00:00.400151, 213, 8, 5, MASTER_1, 
2024-04-12 22:12:10.970485, 0:00:00.208056, 221, 8, 6, SLAVE_1(*ERROR*), 
2024-04-12 22:12:10.970523, 0:00:00.000021, 221, 0, 7, MASTER_2, 
2024-04-12 22:12:11.385427, 0:00:00.414918, 410, 189, 8, SLAVE_2, 
2024-04-12 22:12:11.768809, 0:00:00.383382, 418, 8, 9, MASTER_1, 
2024-04-12 22:12:11.992641, 0:00:00.223830, 426, 8, 10, SLAVE_1(*ERROR*), 
2024-04-12 22:12:11.992669, 0:00:00.000015, 426, 0, 11, MASTER_2, 
2024-04-12 22:12:12.392238, 0:00:00.399602, 615, 189, 12, SLAVE_2, 
2024-04-12 22:12:12.791879, 0:00:00.399622, 623, 8, 13, MASTER_1, 
2024-04-12 22:12:12.808277, 0:00:00.016399, 631, 8, 14, SLAVE_1_B(*ERROR*), 
2024-04-12 22:12:12.872698, 0:00:00.064423, 688, 57, 15, SLAVE_1, 
2024-04-12 22:12:13.272037, 0:00:00.399339, 877, 189, 16, MASTER_3, 
2024-04-12 22:12:13.288100, 0:00:00.016065, 885, 8, 17, SLAVE_3, 
2024-04-12 22:12:13.687948, 0:00:00.399847, 1074, 189, 18, MASTER_4, 
2024-04-12 22:12:13.719200, 0:00:00.031248, 1082, 8, 19, SLAVE_4, 
2024-04-12 22:12:13.943693, 0:00:00.224498, 1113, 31, 20, MASTER_5, 
2024-04-12 22:12:13.974606, 0:00:00.030913, 1121, 8, 21, SLAVE_5, 
2024-04-12 22:12:14.183196, 0:00:00.208586, 1129, 8, 22, MASTER_2, 
2024-04-12 22:12:14.582848, 0:00:00.399653, 1318, 189, 23, SLAVE_2, 
2024-04-12 22:12:14.982467, 0:00:00.399618, 1326, 8, 24, MASTER_1, 
2024-04-12 22:12:15.062213, 0:00:00.079746, 1391, 65, 25, SLAVE_1, 
2024-04-12 22:12:15.269808, 0:00:00.207595, 1399, 8, 26, MASTER_2, 
2024-04-12 22:12:15.669641, 0:00:00.399838, 1588, 189, 27, SLAVE_2, 
2024-04-12 22:12:16.069757, 0:00:00.400114, 1596, 8, 28, MASTER_1, 
2024-04-12 22:12:16.149760, 0:00:00.080004, 1661, 65, 29, SLAVE_1, 
2024-04-12 22:12:16.357470, 0:00:00.207706, 1669, 8, 30, MASTER_2, 
2024-04-12 22:12:16.756370, 0:00:00.398905, 1858, 189, 31, SLAVE_2, 
2024-04-12 22:12:17.156439, 0:00:00.400064, 1866, 8, 32, MASTER_1, 
2024-04-12 22:12:17.236613, 0:00:00.080179, 1931, 65, 33, SLAVE_1, 
2024-04-12 22:12:17.444606, 0:00:00.207990, 1939, 8, 34, MASTER_2, 
2024-04-12 22:12:17.860150, 0:00:00.415543, 2128, 189, 35, SLAVE_2, 
2024-04-12 22:12:18.243906, 0:00:00.383755, 2136, 8, 36, MASTER_1, 
2024-04-12 22:12:18.323147, 0:00:00.079241, 2201, 65, 37, SLAVE_1, 
2024-04-12 22:12:18.531613, 0:00:00.208466, 2209, 8, 38, MASTER_2, 
2024-04-12 22:12:18.947104, 0:00:00.415491, 2398, 189, 39, SLAVE_2, 
2024-04-12 22:12:19.330735, 0:00:00.383631, 2406, 8, 40, MASTER_1, 
2024-04-12 22:12:19.410792, 0:00:00.080058, 2471, 65, 41, SLAVE_1, 
2024-04-12 22:12:19.618664, 0:00:00.207871, 2479, 8, 42, MASTER_2, 
